Timestamp,Signal_Name,Bit_Len,Bit_Name1,Bit_Name2,Bit_Name3,Bit_Name4,Bit_Name5,Bit_Name6,Bit_Name7,Bit_Name8
0.052766,CAN_S60,8,20,14,00,00,00,00,00,80
0.053503,CAN_S5,8,54,D0,9F,78,FD,F5,37,1E
0.053753,CAN_S24,8,00,00,FE,00,00,00,00,00
0.054065,CAN_S61,8,00,68,00,3E,00,9D,00,00
0.054307,CAN_S6,8,AC,E7,3F,00,00,00,00,00
0.058838,CAN_S30,8,8C,01,00,00,30,8C,7E,FE
0.059352,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.059656,CAN_S13,8,00,00,00,00,FF,00,00,00
0.059943,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.060181,CAN_S62,8,00,00,54,20,00,50,51,58
0.060475,CAN_S15,8,00,00,00,00,00,00,00,00
0.060775,CAN_S16,8,00,00,00,00,00,00,00,00
0.061295,CAN_S63,8,00,00,00,00,00,00,00,00
0.06166,CAN_S64,8,08,00,00,00,00,00,00,00
0.062262,CAN_S65,8,00,00,00,00,00,00,00,00
0.063366,CAN_S5,8,DC,D1,9F,78,FD,F5,37,1E
0.063614,CAN_S4,8,00,00,00,00,F0,03,00,00
0.064047,CAN_S7,8,00,00,00,00,00,00,00,00
0.064287,CAN_S26,8,2F,EC,BF,FF,00,14,00,00
0.065183,CAN_S8,8,C2,EC,3F,80,00,00,00,00
0.065427,CAN_S9,8,40,7C,7F,00,82,00,40,00
0.065664,CAN_S10,8,8C,8C,64,00,00,00,C3,00
0.066864,CAN_S27,8,85,08,00,00,00,00,00,7E
0.067888,CAN_S29,8,E3,05,00,44,40,02,00,00
0.069038,CAN_S66,8,FE,6F,00,FE,FE,F7,07,00
0.069353,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.069657,CAN_S13,8,00,00,00,00,FF,00,00,00
0.069943,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.070243,CAN_S15,8,00,00,00,00,00,00,00,00
0.070544,CAN_S16,8,00,00,00,00,00,00,00,00
0.071616,CAN_S67,8,57,1C,00,00,00,00,00,00
0.073418,CAN_S68,8,FD,00,18,00,00,40,00,00
0.073648,CAN_S5,8,A8,D2,9F,78,FD,F5,37,1E
0.073899,CAN_S24,8,00,00,FE,00,00,00,00,00
0.074141,CAN_S69,8,32,08,00,00,00,70,01,00
0.077039,CAN_S70,8,00,08,EE,1E,06,00,00,00
0.07883,CAN_S30,8,03,02,00,00,30,8C,7E,FE
0.079298,CAN_S32,8,0B,0B,80,12,00,00,00,00
0.079582,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.079886,CAN_S13,8,00,00,00,00,FF,00,00,00
0.080173,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.080473,CAN_S15,8,00,00,00,00,00,00,00,00
0.080773,CAN_S16,8,00,00,00,00,00,00,00,00
0.081621,CAN_S71,8,00,00,80,00,00,48,40,00
0.082076,CAN_S72,2,03,00,Length,=,125973,BitCount,=,67
0.083136,CAN_S73,8,10,00,04,01,80,00,00,00
0.083374,CAN_S40,8,D3,8F,09,00,00,00,00,00
0.083606,CAN_S5,8,29,D3,9F,78,FD,F5,37,1E
0.083854,CAN_S4,8,00,00,00,00,F0,03,00,00
0.084103,CAN_S7,8,00,00,00,00,00,00,00,00
0.084345,CAN_S41,8,80,00,00,00,01,05,01,0E
0.084635,CAN_S74,8,20,31,00,00,00,00,01,80
0.085155,CAN_S8,8,4B,ED,3F,80,00,00,00,00
0.085401,CAN_S9,8,24,7D,7F,00,82,00,40,00
0.085644,CAN_S10,8,E8,8D,64,00,00,00,C3,00
0.086986,CAN_S75,8,00,00,00,00,00,00,00,00
0.089246,CAN_S76,8,20,0C,00,00,00,00,00,80
0.08953,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.089835,CAN_S13,8,00,00,00,00,FF,00,00,00
0.090121,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.090421,CAN_S15,8,00,00,00,00,00,00,00,00
0.090721,CAN_S16,8,00,00,00,00,00,00,00,00
0.091536,CAN_S77,4,96,03,00,00,Length,=,161973,BitCount
0.093422,CAN_S5,8,13,D4,9F,78,FD,F5,37,1E
0.093672,CAN_S24,8,00,00,FE,00,00,00,00,00
0.094018,CAN_S78,8,BF,0D,00,00,E0,8F,03,00
0.094269,CAN_S48,8,01,7F,00,00,00,00,00,00
0.094511,CAN_S79,8,E4,00,00,4C,00,00,07,00
0.094759,CAN_S80,8,33,7D,00,00,FC,77,00,3F
0.098806,CAN_S30,8,F1,03,00,00,30,8C,7E,FE
0.099508,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.099812,CAN_S13,8,00,00,00,00,FF,00,00,00
0.100099,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.100399,CAN_S15,8,00,00,00,00,00,00,00,00
0.100699,CAN_S16,8,00,00,00,00,00,00,00,00
0.101623,CAN_S81,8,00,00,00,00,00,00,00,00
0.102167,CAN_S82,8,00,00,00,00,00,00,00,00
0.102426,CAN_S1,8,10,0C,00,00,08,00,00,00
0.102662,CAN_S83,5,33,D2,00,00,00,Length,=,219988
0.103034,CAN_S84,8,01,47,4B,36,4E,57,35,52
0.103488,CAN_S5,8,68,D5,9F,78,FD,F5,37,1E
0.103737,CAN_S4,8,00,00,00,00,F0,03,00,00
0.103981,CAN_S6,8,E5,E8,3F,00,00,00,00,00
0.104229,CAN_S7,8,00,00,00,00,00,00,00,00
0.105221,CAN_S8,8,B4,EE,3F,80,00,00,00,00
0.105466,CAN_S9,8,88,7E,7F,00,82,00,40,00
0.1057,CAN_S10,8,B0,8E,65,00,00,00,C3,00
0.108692,CAN_S85,8,20,23,00,00,00,00,00,00
0.109208,CAN_S32,8,4E,0C,80,12,00,00,00,00
0.109492,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.109797,CAN_S13,8,00,00,00,00,FF,00,00,00
0.110083,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.110383,CAN_S15,8,00,00,00,00,00,00,00,00
0.110683,CAN_S16,8,00,00,00,00,00,00,00,00
0.110962,CAN_S17,8,28,EA,7B,4C,F5,E4,28,00
0.111256,CAN_S18,8,00,C0,58,00,00,00,00,00
0.111546,CAN_S19,8,00,00,00,00,00,DD,93,F4
0.111736,CAN_S86,5,00,0B,80,2E,78,Length,=,175972
0.112023,CAN_S21,8,62,C1,4C,65,00,00,00,00
0.113407,CAN_S5,8,FB,D6,9F,78,FD,F5,37,1E
0.113657,CAN_S24,8,00,00,FE,00,00,00,00,00
0.113907,CAN_S25,8,00,00,00,00,00,00,00,FF
0.114146,CAN_S26,8,86,E1,BF,FF,00,14,00,00
0.115154,CAN_S27,8,04,09,00,00,00,00,00,7E
0.117882,CAN_S29,8,4F,06,00,44,40,02,00,00
0.118907,CAN_S30,8,4C,04,00,00,30,8C,7E,FE
0.119351,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.119655,CAN_S13,8,00,00,00,00,FF,00,00,00
0.119897,CAN_S33,8,00,3F,2B,00,00,24,00,07
0.120177,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.120478,CAN_S15,8,00,00,00,00,00,00,00,00
0.120778,CAN_S16,8,00,00,00,00,00,00,00,00
0.121772,CAN_S34,8,00,00,00,00,00,00,00,00
0.123344,CAN_S5,8,72,D7,9F,78,FD,F5,37,1E
0.123593,CAN_S4,8,00,00,00,00,F0,03,00,00
